topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,uniform,30,42,4,20,8,73.17,7
ER,uniform,30,42,4,20,9,72.38,4
ER,uniform,30,42,4,20,10,73.3,2
ER,uniform,30,42,4,20,11,70.21,4
ER,uniform,30,42,4,20,12,71.87,3
ER,uniform,30,42,4,20,13,69.44,2
ER,uniform,30,42,4,20,14,71.07,3
ER,uniform,30,42,4,20,15,72.84,4
ER,uniform,30,42,4,20,16,71.89,4
ER,uniform,30,42,4,20,17,70.9,3
ER,uniform,30,42,4,20,18,74.68,7
ER,uniform,30,42,4,20,19,69.37,1
ER,uniform,30,42,4,20,20,72.54,4
ER,uniform,30,42,4,20,21,70.35,3
ER,uniform,30,42,4,20,22,70.81,4
ER,uniform,30,42,4,20,23,71.24,2
ER,uniform,30,42,4,20,24,70.24,2
ER,uniform,30,42,4,20,25,71.12,5
ER,uniform,30,42,4,20,26,71.07,5
ER,uniform,30,42,4,20,27,70.46,3
